time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-113.46,49.54,67.60,78.50,95.40,67.60,78.00,95.40,66.90,78.00,95.40
1951-01-01,-113.46,49.54,70.60,86.00,100.40,70.60,85.50,100.10,70.60,85.50,100.10
1952-01-01,-113.46,49.54,70.60,85.00,104.50,70.60,85.00,104.80,70.60,85.00,104.80
1953-01-01,-113.46,49.54,68.60,83.50,105.30,69.30,83.50,105.30,69.30,83.50,105.30
1954-01-01,-113.46,49.54,73.60,84.00,101.10,73.60,84.00,99.40,73.60,84.00,100.10
1955-01-01,-113.46,49.54,72.90,81.00,95.70,72.90,80.50,95.70,72.90,80.00,95.70
1956-01-01,-113.46,49.54,68.60,83.50,96.70,68.60,84.00,96.70,68.60,84.00,96.70
1957-01-01,-113.46,49.54,77.30,85.00,98.50,77.90,85.00,97.80,77.90,85.00,97.80
1958-01-01,-113.46,49.54,73.50,91.50,107.40,74.90,91.50,107.40,74.20,91.50,107.40
1959-01-01,-113.46,49.54,67.80,91.50,108.40,67.80,90.00,108.40,67.80,90.00,108.70
1960-01-01,-113.46,49.54,73.30,86.50,100.10,73.00,86.50,100.10,72.30,87.00,100.10
1961-01-01,-113.46,49.54,77.00,88.00,100.70,77.00,88.00,100.70,77.00,87.50,100.40
1962-01-01,-113.46,49.54,73.60,87.50,107.20,72.20,86.50,107.20,73.60,86.50,107.20
1963-01-01,-113.46,49.54,68.90,87.00,103.80,70.30,87.00,103.80,70.30,87.00,103.50
1964-01-01,-113.46,49.54,71.30,84.00,104.70,72.00,84.00,104.70,71.30,84.00,104.70
1965-01-01,-113.46,49.54,76.30,93.00,99.70,77.00,93.00,99.70,77.00,93.00,100.40
1966-01-01,-113.46,49.54,75.00,84.50,103.60,74.30,84.50,104.30,72.90,84.50,103.60
1967-01-01,-113.46,49.54,64.00,83.50,99.00,64.00,83.50,101.10,64.00,83.50,100.40
1968-01-01,-113.46,49.54,69.30,87.50,102.10,69.30,86.00,102.70,69.30,86.00,101.80
1969-01-01,-113.46,49.54,69.10,84.50,107.50,69.10,85.00,104.70,69.10,84.50,104.70
